iter	Passed	Remaining
403	12722	18768
404	12752	18734
405	12785	18706
406	12843	18713
407	12904	18723
408	12948	18710
409	12988	18690
410	13043	18692
411	13091	18683
412	13134	18667
413	13182	18658
414	13223	18640
415	13266	18623
416	13304	18600
417	13337	18570
418	13371	18541
419	13411	18521
420	13463	18516
421	13516	18512
422	13576	18518
423	13622	18506
424	13667	18491
425	13713	18477
426	13759	18464
427	13799	18441
428	13851	18436
429	13896	18421
430	13944	18409
431	14017	18430
432	14093	18455
433	14154	18459
434	14193	18435
435	14240	18420
436	14295	18417
437	14343	18404
438	14405	18409
439	14444	18383
440	14476	18349
441	14513	18322
442	14555	18301
443	14594	18276
444	14634	18252
445	14672	18225
446	14707	18194
447	14742	18164
448	14767	18122
449	14802	18091
450	14839	18063
451	14872	18031
452	14907	18000
453	14941	17969
454	14972	17933
455	15004	17899
456	15045	17876
457	15077	17843
458	15109	17808
459	15140	17773
460	15169	17736
461	15204	17706
462	15252	17690
463	15283	17655
464	15320	17626
465	15356	17597
466	15386	17560
467	15417	17525
468	15448	17490
469	15478	17454
470	15500	17408
471	15531	17374
472	15571	17349
473	15596	17307
474	15625	17270
475	15647	17225
476	15670	17181
477	15695	17139
478	15719	17097
479	15748	17061
480	15783	17030
481	15815	16996
482	15854	16970
483	15885	16935
484	15907	16891
485	15933	16851
486	15960	16812
487	15993	16779
488	16022	16743
489	16048	16703
490	16076	16666
491	16113	16637
492	16143	16602
493	16176	16569
494	16200	16527
495	16228	16490
496	16259	16455
497	16299	16430
498	16327	16392
499	16356	16356
500	16392	16326
501	16418	16287
502	16448	16252
503	16481	16220
504	16516	16189
505	16541	16149
506	16570	16113
507	16607	16084
508	16639	16051
509	16670	16017
510	16713	15993
511	16749	15964
512	16790	15939
513	16845	15927
514	16873	15890
515	16904	15856
516	16936	15822
517	16970	15790
518	17001	15756
519	17032	15722
520	17065	15689
521	17099	15658
522	17133	15626
523	17166	15594
524	17200	15562
525	17237	15533
526	17268	15499
527	17298	15463
528	17325	15425
529	17351	15387
530	17380	15350
531	17411	15316
532	17440	15281
533	17468	15244
534	17492	15203
535	17523	15169
536	17568	15147
537	17606	15119
538	17640	15087
539	17673	15055
540	17712	15027
541	17749	14998
542	17803	14983
543	17859	14970
544	17916	14957
545	17961	14935
546	18007	14913
547	18058	14895
548	18102	14871
549	18140	14842
550	18173	14809
551	18209	14778
552	18244	14746
553	18280	14716
554	18311	14682
555	18343	14648
556	18376	14615
557	18416	14587
558	18457	14561
559	18493	14530
560	18538	14507
561	18572	14474
562	18606	14442
563	18643	14412
564	18682	14384
565	18723	14356
566	18771	14334
567	18806	14303
568	18844	14273
569	18880	14243
570	18918	14213
571	18947	14177
572	18984	14147
573	19015	14112
574	19052	14082
575	19086	14049
576	19111	14010
577	19134	13970
578	19169	13938
579	19197	13901
580	19231	13869
581	19283	13849
582	19318	13817
583	19366	13795
584	19400	13762
585	19429	13726
586	19460	13692
587	19487	13654
588	19518	13620
589	19549	13585
590	19580	13550
591	19612	13516
592	19639	13479
593	19667	13443
594	19696	13407
595	19726	13371
596	19750	13332
597	19776	13294
598	19799	13254
599	19826	13217
600	19850	13178
601	19875	13140
602	19901	13102
603	19925	13063
604	19949	13025
605	19976	12988
606	20005	12952
607	20030	12914
608	20054	12876
609	20087	12842
610	20115	12806
611	20149	12774
612	20181	12741
613	20205	12702
614	20227	12662
615	20256	12627
616	20282	12590
617	20306	12551
618	20335	12516
619	20361	12479
620	20386	12442
621	20420	12409
622	20442	12370
623	20464	12330
624	20487	12292
625	20516	12257
626	20537	12217
627	20565	12181
628	20585	12141
629	20606	12102
630	20636	12067
631	20664	12032
632	20686	11993
633	20720	11961
634	20755	11930
635	20784	11895
636	20806	11856
637	20841	11825
638	20869	11790
639	20906	11759
640	20936	11725
641	20966	11691
642	20996	11657
643	21025	11622
644	21063	11592
645	21096	11560
646	21120	11523
647	21164	11496
648	21199	11465
649	21247	11440
650	21290	11413
651	21321	11380
652	21357	11348
653	21397	11320
654	21430	11287
655	21467	11257
656	21508	11229
657	21543	11197
658	21575	11164
659	21613	11134
660	21642	11099
661	21682	11070
662	21718	11039
663	21752	11007
664	21789	10976
665	21826	10945
666	21856	10911
667	21888	10878
668	21922	10846
669	21950	10811
670	21980	10777
671	22012	10744
672	22050	10714
673	22096	10687
674	22151	10665
675	22190	10635
676	22227	10604
677	22258	10571
678	22296	10540
679	22341	10513
680	22376	10481
681	22423	10455
682	22454	10421
683	22489	10389
684	22531	10361
685	22563	10327
686	22602	10297
687	22640	10267
688	22683	10238
689	22715	10205
690	22740	10169
691	22768	10133
692	22792	10097
693	22823	10063
694	22858	10031
695	22891	9998
696	22924	9965
697	22950	9929
698	22980	9895
699	23001	9857
700	23030	9823
701	23061	9789
702	23084	9752
703	23109	9716
704	23134	9680
705	23160	9644
706	23189	9610
707	23220	9576
708	23255	9544
709	23283	9510
710	23311	9475
711	23335	9438
712	23371	9407
713	23404	9375
714	23435	9341
715	23483	9314
716	23526	9286
717	23560	9253
718	23594	9221
719	23627	9188
720	23666	9158
721	23703	9126
722	23729	9091
723	23761	9058
724	23796	9026
725	23832	8994
726	23864	8961
727	23894	8927
728	23927	8894
729	23958	8861
730	23992	8829
731	24017	8793
732	24050	8760
733	24078	8726
734	24113	8694
735	24144	8660
736	24173	8626
737	24207	8593
738	24240	8561
739	24268	8526
740	24294	8491
741	24326	8458
742	24356	8424
743	24388	8391
744	24419	8358
745	24456	8327
746	24489	8294
747	24522	8261
748	24563	8231
749	24592	8197
750	24623	8164
751	24672	8136
752	24719	8108
753	24758	8077
754	24803	8048
755	24838	8016
756	24867	7982
757	24907	7951
758	24942	7919
759	24976	7887
760	25004	7852
761	25033	7818
762	25067	7786
763	25102	7754
764	25130	7719
765	25165	7687
766	25204	7656
767	25246	7626
768	25281	7594
769	25317	7562
770	25344	7527
771	25376	7494
772	25407	7461
773	25440	7428
774	25472	7395
775	25509	7363
776	25541	7330
777	25567	7295
778	25597	7262
779	25632	7229
780	25665	7196
781	25697	7163
782	25724	7129
783	25748	7094
784	25780	7060
785	25812	7027
786	25844	6994
787	25870	6959
788	25896	6925
789	25921	6890
790	25946	6855
791	25978	6822
792	26004	6787
793	26035	6754
794	26067	6721
795	26094	6687
796	26126	6654
797	26165	6623
798	26207	6592
799	26241	6560
800	26275	6527
801	26307	6494
802	26338	6461
803	26370	6428
804	26394	6393
805	26422	6359
806	26451	6326
807	26479	6292
808	26514	6259
809	26548	6227
810	26587	6196
811	26626	6164
